"day","date","New infections","recorded cases","delta"
1, 27/12/2019, 1, 0, 0
2, 28/12/2019, 13.6701022776452, 0, 0
3, 29/12/2019, 15.8551865860557, 2.10396094590546e-128, 2.10396094590546e-128
4, 30/12/2019, 18.6090875100182, 8.71278695739107e-118, 8.71278695718068e-118
5, 31/12/2019, 21.9773837165248, 5.14971196309261e-108, 5.14971196222133e-108
6, 01/01/2020, 25.9934850466824, 1.11973254564698e-98, 1.11973254513201e-98
7, 02/01/2020, 30.6824119095485, 8.9567651261871e-90, 8.95676511498977e-90
8, 03/01/2020, 36.066734235175, 2.63567955109582e-81, 2.63567954213906e-81
9, 04/01/2020, 42.1734271074987, 2.776535399336e-73, 2.7765353729792e-73
10, 05/01/2020, 49.0402925972342, 4.40855248651591e-66, 4.40855220886237e-66
11, 06/01/2020, 56.7208765321833, 1.66477031709522e-58, 1.66477027300969e-58
12, 07/01/2020, 65.2873526052384, 8.97262701710412e-52, 8.97262535233381e-52
13, 08/01/2020, 74.8314544522891, 1.77906488101485e-45, 1.77906398375215e-45
14, 09/01/2020, 85.4640148466098, 1.29769678774066e-39, 1.29769500867578e-39
15, 10/01/2020, 97.3139014476238, 3.48232580759951e-34, 3.48231283063163e-34
16, 11/01/2020, 110.510220239603, 3.34551193744006e-29, 3.34547711418198e-29
17, 12/01/2020, 125.022349899229, 4.84541543391132e-25, 4.84508088271758e-25
18, 13/01/2020, 141.251087093295, 1.66960493154204e-20, 1.6695564773877e-20
19, 14/01/2020, 159.370894678541, 8.22273324529037e-17, 8.22106364035882e-17
20, 15/01/2020, 179.581024046788, 1.49488533686846e-13, 1.49406306354393e-13
21, 16/01/2020, 202.108184983617, 1.00912223824879e-10, 1.00762735291192e-10
22, 17/01/2020, 227.209161367864, 2.56814282724803e-08, 2.55805160486554e-08
23, 18/01/2020, 255.173470812054, 2.48833171661185e-06, 2.46265028833937e-06
24, 19/01/2020, 286.326200058518, 4.31280781469128e-05, 4.0639746430301e-05
25, 20/01/2020, 321.031165593325, 0.00205071486898619, 0.00200758679083928
26, 21/01/2020, 359.694546934764, 0.0210629425314828, 0.0190122276624966
27, 22/01/2020, 402.769120206269, 0.112230080806929, 0.0911671382754463
28, 23/01/2020, 450.759188907754, 0.353681317695935, 0.241451236889006
29, 24/01/2020, 504.226277093307, 0.816253379861209, 0.462572062165273
30, 25/01/2020, 563.795626754952, 1.54775259902806, 0.73149921916685
31, 26/01/2020, 630.163817127634, 1.98075829284423, 0.433005693816171
32, 27/01/2020, 704.109897068595, 3.78250562692348, 1.80174733407925
33, 28/01/2020, 786.496882122025, 5.9829083586246, 2.20040273170112
34, 29/01/2020, 878.287200801475, 8.68048656847327, 2.69757820984867
35, 30/01/2020, 980.553719963463, 11.9777608177474, 3.29727424927408
36, 31/01/2020, 1094.49210034157, 15.9722193711978, 3.99445855345049
37, 01/02/2020, 1221.43463256865, 20.6320714697293, 4.65985209853142
38, 02/02/2020, 1362.86571523566, 22.856765373224, 2.22469390349473
39, 03/02/2020, 1520.43915105522, 30.9523062324527, 8.09554085922872
40, 04/02/2020, 1695.99745541647, 39.6443291078685, 8.69202287541576
41, 05/02/2020, 1891.59339380746, 49.2257641667876, 9.58143505891909
42, 06/02/2020, 2109.51399086367, 59.9775764388038, 10.7518122720162
43, 07/02/2020, 2352.30728414209, 72.1458191204129, 12.1682426816091
44, 08/02/2020, 2622.81212998434, 85.5885923432697, 13.4427732228568
45, 09/02/2020, 2924.19140687712, 91.7321076657989, 6.14351532252914
46, 10/02/2020, 3259.9689986976, 113.439480970516, 21.7073733047168
47, 11/02/2020, 3634.07094724206, 136.05097537678, 22.6114944062639
48, 12/02/2020, 4050.8714453793, 160.323932440451, 24.2729570636716
49, 13/02/2020, 4515.24395792129, 186.957157163183, 26.6332247227319
50, 14/02/2020, 5032.61819095167, 216.532396639468, 29.5752394762852
51, 15/02/2020, 5609.04357238542, 248.682437010738, 32.1500403712694
52, 16/02/2020, 6251.25998322426, 263.175693957256, 14.4932569465182
53, 17/02/2020, 6966.7765644046, 313.89428702612, 50.7185930688645
54, 18/02/2020, 7763.95951920614, 366.181495338473, 52.2872083123532
55, 19/02/2020, 8652.12993694299, 421.77696401494, 55.5954686764662
56, 20/02/2020, 9641.67278129047, 482.262629340351, 60.485665325411
57, 21/02/2020, 10744.1583174683, 548.934817351948, 66.6721880115969
58, 22/02/2020, 11972.4773981398, 620.947978853314, 72.0131615013662
59, 23/02/2020, 13340.992190019, 653.23272851354, 32.284749660226
60, 24/02/2020, 14865.7041037287, 765.767781319318, 112.535052805778
61, 25/02/2020, 16564.4408906456, 881.28842827162, 115.520646952303
62, 26/02/2020, 18457.0650952427, 1003.62799285464, 122.339564583019
63, 27/02/2020, 20565.7062977283, 1136.25017350281, 132.622180648169
64, 28/02/2020, 22915.0198647649, 1281.97354938887, 145.723375886065
65, 29/02/2020, 25532.4752333421, 1438.93278508712, 156.959235698245
66, 01/03/2020, 28448.6770983596, 1509.1301941113, 70.1974090241861
67, 02/03/2020, 31697.7232593097, 1753.39235059409, 244.26215648279
68, 03/03/2020, 35317.6033101604, 2003.65919278673, 250.266842192639
69, 04/03/2020, 39350.6428341354, 2268.22549701779, 264.566304231055
70, 05/03/2020, 43843.9982971732, 2554.5649668832, 286.339469865412
71, 06/03/2020, 48850.2084266471, 2868.74018120046, 314.175214317259
72, 07/03/2020, 54427.8085223767, 3206.71286392015, 337.972682719694
73, 08/03/2020, 60642.0148827964, 3357.6992388776, 150.986374957444
74, 09/03/2020, 67565.4873489611, 3882.66185847838, 524.962619600785
75, 10/03/2020, 75279.1788824641, 4420.06271079551, 537.400852317132
76, 11/03/2020, 33531.762415508, 4987.70354331147, 567.640832515956
77, 12/03/2020, 34167.1342503442, 5601.60303934607, 613.899496034603
78, 13/03/2020, 34336.8587345719, 6274.73647324873, 673.133433902659
79, 14/03/2020, 34049.9254498543, 6998.43518881411, 723.698715565381
80, 15/03/2020, 33349.0622983144, 7321.57676016818, 323.141571354065
81, 16/03/2020, 32303.8793910876, 8444.69089248367, 1123.11413231549
82, 17/03/2020, 31000.1627268453, 9593.95265526568, 1149.26176278201
83, 18/03/2020, 29527.6472432062, 10807.4224427694, 1213.46978750371
84, 19/03/2020, 27968.791221814, 12119.3276512925, 1311.90520852307
85, 20/03/2020, 26390.5770584221, 13557.3739900006, 1438.04633870811
86, 21/03/2020, 24840.3881899817, 15103.025809571, 1545.65181957043
87, 22/03/2020, 23345.9070542149, 15793.0171303864, 689.991320815416
88, 23/03/2020, 21918.0881919345, 18190.7470575951, 2397.72992720873
89, 24/03/2020, 20555.8010271441, 20643.8383061082, 2453.09124851302
90, 25/03/2020, 19250.7450611254, 23233.5209189754, 2589.68261286726
91, 26/03/2020, 18331.3809762187, 26032.8236878199, 2799.30276884448
92, 27/03/2020, 17403.0271345802, 29100.841769, 3068.01808118006
93, 28/03/2020, 16484.1814367107, 32398.0136955997, 3297.17192659975
94, 29/03/2020, 15589.2017102831, 33869.7341800603, 1471.72048446054
95, 30/03/2020, 14728.2874655294, 38983.5742574348, 5113.8400773745
96, 31/03/2020, 13907.8007474318, 44215.0201698254, 5231.44591239066
97, 01/04/2020, 13130.8442550365, 49736.6104741974, 5521.59030437193
98, 02/04/2020, 12397.992282967, 55681.8082517516, 5945.19777755421
99, 03/04/2020, 11708.0637350113, 61918.6559706646, 6236.84771891304
100, 04/04/2020, 11058.8380244342, 67459.2143262925, 5540.55835562792
101, 05/04/2020, 10447.6413320102, 69328.0056402443, 1868.79131395178
102, 06/04/2020, 9871.76583784673, 74757.1565665335, 5429.15092628924
103, 07/04/2020, 9328.71976991187, 79380.2284151034, 4623.07184856986
104, 08/04/2020, 8816.33386925724, 83482.6623869933, 4102.43397188986
105, 09/04/2020, 8332.76563883089, 87236.4450228922, 3753.78263589893
106, 10/04/2020, 7874.15251806098, 90733.4913785763, 3497.04635568408
107, 11/04/2020, 7440.11854264123, 93932.1468250942, 3198.65544651791
108, 12/04/2020, 7029.89064766954, 95148.6769416622, 1216.53011656806
109, 13/04/2020, 6642.44750814084, 98862.4304643147, 3713.75352265246
110, 14/04/2020, 6276.63802400688, 102103.808988682, 3241.37852436752
111, 15/04/2020, 5931.2690993879, 104989.534706967, 2885.72571828443
